alphabet,id,han_num,chinese_name,pinyin_initial
A,abandoned_camp_map,6,废弃营地地图,F
A,acacia_boat,5,金合欢木船,J
A,acacia_button,6,金合欢木按钮,J
A,acacia_chest_boat,7,金合欢木运输船,J
A,acacia_door,5,金合欢木门,J
A,acacia_fence,6,金合欢木栅栏,J
A,acacia_fence_gate,7,金合欢木栅栏门,J
A,acacia_hanging_sign,10,悬挂式金合欢木告示牌,X
A,acacia_leaves,5,金合欢树叶,J
A,acacia_log,5,金合欢原木,J
A,acacia_planks,5,金合欢木板,J
A,acacia_pressure_plate,7,金合欢木压力板,J
A,acacia_sapling,5,金合欢树苗,J
A,acacia_shelf,7,金合欢木展示架,J
A,acacia_sign,7,金合欢木告示牌,J
A,acacia_slab,6,金合欢木台阶,J
A,acacia_stairs,6,金合欢木楼梯,J
A,acacia_trapdoor,7,金合欢木活板门,J
A,acacia_wood,4,金合欢木,J
A,activator_rail,4,激活铁轨,J
A,allium,3,绒球葱,R
A,amethyst_block,4,紫水晶块,Z
A,amethyst_cluster,4,紫水晶簇,Z
A,amethyst_shard,5,紫水晶碎片,Z
A,ancient_debris,4,远古残骸,Y
A,andesite,3,安山岩,A
A,andesite_slab,5,安山岩台阶,A
A,andesite_stairs,5,安山岩楼梯,A
A,andesite_wall,4,安山岩墙,A
A,angler_pottery_sherd,6,垂钓纹样陶片,C
A,anvil,2,铁砧,T
A,apple,2,苹果,P
A,archer_pottery_sherd,6,弓箭纹样陶片,G
A,armadillo_scute,4,犰狳鳞甲,Q
A,armor_stand,3,盔甲架,K
A,arms_up_pottery_sherd,6,举臂纹样陶片,J
A,arrow,1,箭,J
A,axolotl_bucket,4,美西螈桶,M
A,azalea,4,杜鹃花丛,D
A,azalea_leaves,4,杜鹃树叶,D
A,azure_bluet,5,蓝花美耳草,L
B,baked_potato,4,烤马铃薯,K
B,bamboo,2,竹子,Z
B,bamboo_block,2,竹块,Z
B,bamboo_button,3,竹按钮,Z
B,bamboo_chest_raft,4,运输竹筏,Y
B,bamboo_door,2,竹门,Z
B,bamboo_fence,3,竹栅栏,Z
B,bamboo_fence_gate,4,竹栅栏门,Z
B,bamboo_hanging_sign,7,悬挂式竹告示牌,X
B,bamboo_mosaic,4,竹马赛克,Z
B,bamboo_mosaic_slab,6,竹马赛克台阶,Z
B,bamboo_mosaic_stairs,6,竹马赛克楼梯,Z
B,bamboo_planks,2,竹板,Z
B,bamboo_pressure_plate,4,竹压力板,Z
B,bamboo_raft,2,竹筏,Z
B,bamboo_shelf,4,竹展示架,Z
B,bamboo_sign,4,竹告示牌,Z
B,bamboo_slab,3,竹台阶,Z
B,bamboo_stairs,3,竹楼梯,Z
B,bamboo_trapdoor,4,竹活板门,Z
B,barrel,2,木桶,M
B,basalt,3,玄武岩,X
B,beacon,2,信标,X
B,bee_nest,2,蜂巢,F
B,beef,3,生牛肉,S
B,beehive,2,蜂箱,F
B,beetroot,3,甜菜根,T
B,beetroot_seeds,4,甜菜种子,T
B,beetroot_soup,3,甜菜汤,T
B,bell,1,钟,Z
B,big_dripleaf,5,大型垂滴叶,D
B,birch_boat,4,白桦木船,B
B,birch_button,5,白桦木按钮,B
B,birch_chest_boat,6,白桦木运输船,B
B,birch_door,4,白桦木门,B
B,birch_fence,5,白桦木栅栏,B
B,birch_fence_gate,6,白桦木栅栏门,B
B,birch_hanging_sign,9,悬挂式白桦木告示牌,X
B,birch_leaves,4,白桦树叶,B
B,birch_log,4,白桦原木,B
B,birch_planks,4,白桦木板,B
B,birch_pressure_plate,6,白桦木压力板,B
B,birch_sapling,4,白桦树苗,B
B,birch_shelf,6,白桦木展示架,B
B,birch_sign,6,白桦木告示牌,B
B,birch_slab,5,白桦木台阶,B
B,birch_stairs,5,白桦木楼梯,B
B,birch_trapdoor,6,白桦木活板门,B
B,birch_wood,3,白桦木,B
B,black_banner,4,黑色旗帜,H
B,black_bed,3,黑色床,H
B,black_bundle,5,黑色收纳袋,H
B,black_candle,4,黑色蜡烛,H
B,black_carpet,4,黑色地毯,H
B,black_concrete,5,黑色混凝土,H
B,black_concrete_powder,7,黑色混凝土粉末,H
B,black_concrete_slab,7,黑色混凝土台阶,H
B,black_concrete_stairs,7,黑色混凝土楼梯,H
B,black_cushion,4,黑色坐垫,H
B,black_dye,4,黑色染料,H
B,black_glazed_terracotta,6,黑色带釉陶瓦,H
B,black_harness,4,黑色挽具,H
B,black_shulker_box,5,黑色潜影盒,H
B,black_stained_glass,6,黑色染色玻璃,H
B,black_stained_glass_pane,7,黑色染色玻璃板,H
B,black_terracotta,4,黑色陶瓦,H
B,black_wool,4,黑色羊毛,H
B,black_wool_slab,6,黑色羊毛台阶,H
B,black_wool_stairs,6,黑色羊毛楼梯,H
B,blackstone,2,黑石,H
B,blackstone_slab,4,黑石台阶,H
B,blackstone_stairs,4,黑石楼梯,H
B,blackstone_wall,3,黑石墙,H
B,blade_pottery_sherd,6,利刃纹样陶片,L
B,blast_furnace,2,高炉,G
B,blaze_powder,3,烈焰粉,L
B,blaze_rod,3,烈焰棒,L
B,blue_banner,4,蓝色旗帜,L
B,blue_bed,3,蓝色床,L
B,blue_bundle,5,蓝色收纳袋,L
B,blue_candle,4,蓝色蜡烛,L
B,blue_carpet,4,蓝色地毯,L
B,blue_concrete,5,蓝色混凝土,L
B,blue_concrete_powder,7,蓝色混凝土粉末,L
B,blue_concrete_slab,7,蓝色混凝土台阶,L
B,blue_concrete_stairs,7,蓝色混凝土楼梯,L
B,blue_cushion,4,蓝色坐垫,L
B,blue_dye,4,蓝色染料,L
B,blue_egg,4,蓝色鸡蛋,L
B,blue_glazed_terracotta,6,蓝色带釉陶瓦,L
B,blue_harness,4,蓝色挽具,L
B,blue_ice,2,蓝冰,L
B,blue_orchid,2,兰花,L
B,blue_shulker_box,5,蓝色潜影盒,L
B,blue_stained_glass,6,蓝色染色玻璃,L
B,blue_stained_glass_pane,7,蓝色染色玻璃板,L
B,blue_terracotta,4,蓝色陶瓦,L
B,blue_wool,4,蓝色羊毛,L
B,blue_wool_slab,6,蓝色羊毛台阶,L
